Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;Заказ №НТЦ-19/08000/00942/Р-ГНС к договору № НТЦ-19/08000/00668/Р;НГУ ПрНИД;НОЦГПННГУ;Актуализация геомеханической модели в процессе строительства разведочной скважины 2-Аяшская;Чеверда Владимир Альбертович;Газпромнефть НТЦ ООО;Нефть/Газ;2 998 912,25;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;"Значок ""Проверено сообществом""";37: ГЕОФИЗИКА;37.31: ФИЗИКА ЗЕМЛИ;37.31.19: СЕЙСМОЛОГИЯ;;
Аксенова Н.В.;;Заказ №НТЦ-19/07000/01073/Р-ГПН к договору №НТЦ-19/07000/00794/р-ГПН;НГУ ПрНИД;НОЦГПННГУ;"Анализ и интерпретация волновых явлений при прведении операции гидроразрыва. Разработка инструментов для моделировая автоГРП в гидродинамическом стимуляторе. Повышение скорости решения СЛАУ в рамках задачи ""black oil"" (нелетучая нефть) на PEBI сетках";Головин Сергей Валерьевич;Газпромнефть НТЦ ООО;Нефть/Газ;17 492 204,14;Не грант;;Внебюджетное;НИР;Моделирование;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;;
Аксенова Н.В.;;Соглашение № 075-15-2019-1078 (МК-814.2019.1);НГУ ММФ;ЛМСИИММЕ;Анализ и применение методов машинного обучения в обратных задачах с использованием параллельных вычислений на супер-ЭВМ;Криворотько Ольга Игоревна;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;27: МАТЕМАТИКА;"27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ; 
27.37: ВАРИАЦИОННОЕ ИСЧИСЛЕНИЕ И МАТЕМАТИЧЕСКАЯ ТЕОРИЯ ОПТИМАЛЬНОГО УПРАВЛЕНИЯ; 
27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА";"27.31.21: НЕЛИНЕЙНЫЕ УРАВНЕНИЯ И СИСТЕМЫ УРАВНЕНИЙ; 
27.37.15: ВАРИАЦИОННОЕ ИСЧИСЛЕНИЕ; 
27.41.77: РЕШЕНИЕ МАТЕМАТИЧЕСКИХ ЗАДАЧ ПРИ ПОМОЩИ МОДЕЛИРУЮЩИХ СИСТЕМ";2;
Медных Д.А.;;№ 417-01 от 23.01.2017;ИНГГ СО РАН;Лаб.ресурсов углевод. и прогноза разв. НГ комплекса;Анализ минерально-сырьевой базы и методические подходы к стратегическому планированию воспроизводства минерально-сырьевой базы Российской Федерации до 2030 года;Конторович Алексей Эмильевич;СПГ ЗАО;?;5 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;Договор №3036;НГУ ФИТ;ЛСКТФИТ;Анализ существующих численных схем для решения задач аэроакустики на неструктурированных сетках, анализ применяемых в настоящее время вычислительных архитектур для решения задач аэроакустики;Лаврентьев Михаил Михайлович;ПГНИУ (Пермский государственный национальный исследовательский университет);Образование высшее;2 400 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;27: МАТЕМАТИКА;27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ;27.31.15: ОБЩАЯ ТЕОРИЯ ДИФФЕРЕНЦИАЛЬНЫХ УРАВНЕНИЙ И СИСТЕМ УРАВНЕНИЙ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ;3;
Медных Д.А.;;№ 417-12 от 09.10.2017;ИНГГ СО РАН;Лаб.геохимии нефти и газа;Аналитические исследования палеозойских пород массива Киряка-Тас;Фомин Александр Николаевич;ВСЕГЕИ ФГБУ;Нефть/Газ;1 380 324,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ; 
38.21: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ";"38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ; 
38.21.17: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ РОССИИ И ДРУГИХ БЫВШИХ РЕСПУБЛИК СССР";;
Аксенова Н.В.;;19-51-15001;НГУ ММФ;ЛПВ;Асимптотические и аналитические свойства случайных направленных графов и бесконечных урновых моделей;Фосс Сергей Георгиевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 850 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;27.43: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И МАТЕМАТИЧЕСКАЯ СТАТИСТИКА;27.43.15: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И СЛУЧАЙНЫЕ ПРОЦЕССЫ;1;
Аксенова Н.В.;;РФФИ(И)-00683/17;НГУ ММФ;ЛПВ;Асимптотические свойства стохастических моделей в неклассических предположениях;Ковалевский Артем Павлович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 100 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;27.43: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И МАТЕМАТИЧЕСКАЯ СТАТИСТИКА;"27.43.15: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И СЛУЧАЙНЫЕ ПРОЦЕССЫ; 27.43.17: МАТЕМАТИЧЕСКАЯ СТАТИСТИКА";1;
Аксенова Н.В.;;Соглашение №19-73-00157;НГУ ФЕН;ЛЭКП;Биметаллические Pt- и Сu-содержащие катализаторы для водородной энергетики;Потемкин Дмитрий Игоревич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ;3;
Аксенова Н.В.;;РФФИ-60106/15;НГУ ФЕН;ЛЭКП;"Биметаллические катализаторы в реакциях окисления и гидрирования: корреляции ""состав - структура - каталитические свойства""";Потемкин Дмитрий Игоревич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;5 100 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ;4;
Аксенова Н.В.;;РФФИ(И)-04788/15;НГУ ФФ;ЛНТ;Влияние локального нагрева/охлаждения поверхности модели на ламинарно-турбулентный переход на затупленных телах;Маслов Анатолий Александрович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 412 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;"30.17.31: ПОГРАНИЧНЫЙ СЛОЙ; 
30.17.35: ТЕПЛОМАССОПЕРЕНОС; 
30.17.27: ТУРБУЛЕНТНОСТЬ";2;
Аксенова Н.В.;;РНФ №14-22-00174-П;НГУ ФФ;ЛНВПФФ;Волновая турбулентность: теория, математическое моделирование, эксперимент;Захаров Владимир Евгеньевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;40 000 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;"27: МАТЕМАТИКА; 
30: МЕХАНИКА";"27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА";"27.35.21: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ГИДРОДИНАМИКИ; 
30.17.19: ТЕОРИЯ ВОЛН И КОЛЕБАНИЙ ЖИДКОСТИ";4;
Медных Д.А.;;№ 415-08 от 23.10.2015;ИНГГ СО РАН;Лаб.ГНГ Сибирской платформы;Выделение зон нефтенакопления ранне-среднекембрийского Куонамского осадочного бассейна в зоне сочленения Курейской синеклизы и Анабарской антеклизы на основе геологической инрепретации данных сейсморазведки и бурения;Моисеев Сергей Александрович;Роснефть;Нефть/Газ;15 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 416-19 от 23.11.2016;ИНГГ СО РАН;Резерв отделения нефти и газа;Выделение перспективных зон нефтегазонакопления Лено-Хатангской НГО (Республика Саха (Якутия) на основе изучения данных сейсморазведки и бурения;Моисеев Сергей Александрович;Роснефть;Нефть/Газ;7 500 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;РНФ №16-13-10155/16-13-10155-П;НГУ ФФ;ЛСиФСМС;Высокоточные квантовые расчеты и компьютерное моделирование свойств молекулярных магнитных и энергетических материалов;Грицан Нина Павловна;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;26 000 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.15: ИССЛЕДОВАНИЯ СТРОЕНИЯ И СВОЙСТВ МОЛЕКУЛ И ХИМИЧЕСКОЙ СВЯЗИ;4;
Аксенова Н.В.;;РФФИ(И)-31278/14;НГУ ММФ;КафДМиИ;Вычислимые нумерации в аналитической иерархии;Доржиева Марина Валериановна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;400 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;1;
Ерманюк Е.И.;;РФФИ 16-05-00477;ИНГГ СО РАН;Лаб.сейсмической томографии;Выявление временных вариаций сейсмических параметров под тектонически активными областями методом 4D пассивной томографии;"Кулаков 
Иван Юрьевич";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 400 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;2;-
Аксенова Н.В.;;Задание № 5.1688.2017/ПЧ;НГУ ГГФ;УНЛПГГИ;Габбро-гранитоидные интрузивные серии Центральной Азии как парные петрологические и термохронологические индикаторы для палеогеодинамических реконструкций и металлогенического прогнозирования;Владимиров Александр Геннадьевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;18 355 100,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ; 
38.21: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ";"38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ; 
38.21.17: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ РОССИИ И ДРУГИХ БЫВШИХ РЕСПУБЛИК СССР";3;
Медных Д.А.;;№ 019-02В от 07.05.2019;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Геодинамический мониторинг на Карачаганакском нефтегазоконденсатном месторождении;"Дучков 
Антон Альбертович";Алмаз-Сервис Казахстан;Нефть/Газ;2 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;18-05-00234 А;НГУ ГГФ;ЛГиПЦиВА;Геолого-палеомагнитная характеристика осадочных бассейнов Сибирского кратона и структур его обрамления;Метелкин Дмитрий Васильевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 900 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"38: ГЕОЛОГИЯ; 
37: ГЕОФИЗИКА";"38.17: ТЕКТОНИКА; 
38.15: ЛИТОЛОГИЯ; 
37.15: ГЕОМАГНЕТИЗМ И ВЫСОКИЕ СЛОИ АТМОСФЕРЫ";"38.17.21: ПАЛЕОТЕКТОНИЧЕСКИЕ РЕКОНСТРУКЦИИ; 
38.17.91: РЕГИОНАЛЬНАЯ ТЕКТОНИКА; 
38.15.17: СЕДИМЕНТОГЕНЕЗ; 
37.15.31: ПОСТОЯННОЕ ГЕОМАГНИТНОЕ ПОЛЕ И ВЕКОВЫЕ ВАРИАЦИИ
";2;
Аксенова Н.В.;;Договор № 14.Y26.31.0025;НГУ ММФ;ЛабТД;Геометрическая и количественная топология и динамика;Кауффман Луис Хирш;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;60 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;"27.19: ТОПОЛОГИЯ; 
27.21: ГЕОМЕТРИЯ; 
27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ";"27.19.19: ТОПОЛОГИЯ МНОГООБРАЗИЙ; 27.31.21: НЕЛИНЕЙНЫЕ УРАВНЕНИЯ И СИСТЕМЫ УРАВНЕНИЙ";3;
Аксенова Н.В.;;Задание № 1.3087.2017/ПЧ;НГУ ММФ;ЛабГА;Геометрическии? анализ на (суб)римановых многообразиях и приложения;Водопьянов Сергей Константинович;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;16 288 700,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;"27.23: МАТЕМАТИЧЕСКИЙ АНАЛИЗ; 
27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ";"27.21.19: ДИФФЕРЕНЦИАЛЬНАЯ ГЕОМЕТРИЯ; 
27.23.17: ДИФФЕРЕНЦИАЛЬНОЕ И ИНТЕГРАЛЬНОЕ ИСЧИСЛЕНИЕ; 
27.31.17: ЛИНЕЙНЫЕ И КВАЗИЛИНЕЙНЫЕ УРАВНЕ-НИЯ И СИСТЕМЫ УРАВНЕНИЙ; 27.31.21: НЕЛИНЕЙНЫЕ УРАВНЕНИЯ И СИСТЕМЫ УРАВНЕНИЙ; 
27.37.17: МАТЕМАТИЧЕСКАЯ ТЕОРИЯ УПРАВЛЕНИЯ. ОПТИМАЛЬНОЕ УПРАВЛЕНИЕ";3;
Медных Д.А.;;№ 002-15 от 26.03.2015;ИНГГ СО РАН;Лаб.сейсмической томографии;Геофизические исследования землетрясений и вулканов в Камчатской зоне субдукции;"Кулаков 
Иван Юрьевич";ИВИС ДВО РАН;Научные исследования и разработки;1 500 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;;;;
Медных Д.А.;;№ 419-08 от 22.07.2019;ИНГГ СО РАН;Лаб.сейсмогеологического моделирования природных нефтегазовых систем;Геофизические работы;Конторович Владимир Алексеевич;Томскгазпром ОАО;Нефть/Газ;130 200 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;;;;
Медных Д.А.;;№ 415-04 от 01.07.2015;ИНГГ СО РАН;Лаб.геохимии нефти и газа;Геохимические и углепетрографические исследования керна скважин № 3005 и № 3006 Мало-Ямальского месторождения;Фомин Александр Николаевич;НОВАТЭК НТЦ ООО;Нефть/Газ;1 955 487,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 416-17 от 20.09.2016;ИНГГ СО РАН;Лаб.геохимии нефти и газа;Геохимические исследования образцов пород и нефти Куюмбинского месторождения;Фомин Александр Николаевич;Славнефть-Красноярскнефтегаз;Нефть/Газ;1 229 986,89;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 416-05 от 19.04.2016;ИНГГ СО РАН;Лаб.геохимии нефти и газа;Геохимические углепетрографические исследования скважин Салмановского месторождения и окружающих территорий;Фомин Александр Николаевич;НОВАТЭК НТЦ ООО;Нефть/Газ;1 260 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;РФФИ(И)-53012/15;НГУ ФЕН;ЛМФ;Гомогенное и гетерогенное фотоокисление As(III) в водных растворах;Плюснин Виктор Федорович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;3;
Аксенова Н.В.;;18-501-51021 НИФ_а;НГУ ММФ;ЛПВ;Графы, римановы поверхности и их накрытия;Медных Александр Дмитриевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;"27.19: ТОПОЛОГИЯ; 
27.21: ГЕОМЕТРИЯ; 
27.45: КОМБИНАТОРНЫЙ АНАЛИЗ. ТЕОРИЯ ГРАФОВ";"27.19.17: АЛГЕБРАИЧЕСКАЯ ТОПОЛОГИЯ; 27.21.17: АЛГЕБРАИЧЕСКИЕ И АНАЛИТИЧЕСКИЕ МЕТОДЫ В ГЕОМЕТРИИ; 27.45.17: ТЕОРИЯ ГРАФОВ";1;
Аксенова Н.В.;;Задание № 3.5917.2017/БЧ;НГУ ФФ;УНЛНМРИИФФ;Детекторы для регистрации широких атмосферных ливней инициированных гамма-квантами;Кравченко Евгений Анатольевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;2 341 039,41;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.05: ФИЗИКА ЭЛЕМЕНТАРНЫХ ЧАСТИЦ. ТЕОРИЯ ПОЛЕЙ. ФИЗИКА ВЫСОКИХ ЭНЕРГИЙ; 
29.15: ЯДЕРНАЯ ФИЗИКА";"29.05.45: КОСМИЧЕСКИЕ ЛУЧИ. РЕЛЯТИВИСТСКАЯ АСТРОФИЗИКА. КОСМОЛОГИЯ; 
29.05.81: МЕТОДИКА И ТЕХНИКА ЭКСПЕРИМЕНТА В ФИЗИКЕ ЭЛЕМЕНТАРНЫХ ЧАСТИЦ; 
29.15.33: ЯДЕРНАЯ АСТРОФИЗИКА. ЯДЕРНЫЕ ВЗАИМОДЕЙСТВИЯ КОСМИЧЕСКИХ ЛУЧЕЙ";4;
Аксенова Н.В.;;СОГЛАШЕНИЕ № 18-19-00538;НГУ ФФ;ЛЭТП;Динамика и испарение капель жидкости на поверхностях с микро- и нанопокрытиями;Карчевский Андрей Леонидович;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;18 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА
";29.17.35: МЕТОДИКА И ТЕХНИКА ЭКСПЕРИМЕНТАЛЬ-НЫХ ИССЛЕДОВАНИЙ ГАЗОВ И ЖИДКОСТЕЙ;3;
Аксенова Н.В.;;17-41-543347 р_мол_а;НГУ ФФ;ЛНВПФФ;Динамика и статистика когерентных структур в моделях на огибающую волн на глубокой воде;Качулин Дмитрий Игоревич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;400 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
30: МЕХАНИКА";"27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА";"27.35.21: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ГИДРОДИНАМИКИ; 
30.17.19: ТЕОРИЯ ВОЛН И КОЛЕБАНИЙ ЖИДКОСТИ";1;
Аксенова Н.В.;;РФФИ(И)-00128/16;НГУ ГГФ;УНЛПГГИ, ЛабППГ;Динамика флюидно-магматического взаимодействия и термохронология редкометалльных рудно-магматических систем;Анникова Ирина Юрьевна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 639 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.33: ГЕОХИМИЯ; 
38.35: МИНЕРАЛОГИЯ";"38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ; 
38.33.21: ГЕОХИМИЯ ИЗОТОПОВ; 
38.35.21: МИНЕРАЛЫ";2;
Аксенова Н.В.;;РНФ №15-17-10010;НГУ ГГФ;ООНИ;Динамика формирования гранитоидных батолитов-гигантов в Центральной Азии как отражение плюмовой активности и сдвигово-раздвиговых деформаций литосферы (геологические сценарии и математическое моделирование);Владимиров Александр Геннадьевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;14 000 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;38: ГЕОЛОГИЯ;"38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ";"38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.37.21: МЕТАМОРФИЗМ И МЕТАМОРФИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.27: АБСОЛЮТНЫЙ ВОЗРАСТ ПОРОД И МИНЕРАЛОВ";3;
Ерманюк Е.И.;;МК-6451.2018.5;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Дистанционный контроль охвата продуктивного пласта процессом разработки по результатам наблюдений микросейсмических колебаний на дневной поверхности для повышения эффективности добычи нефти;"Сердюков 
Александр Сергеевич";Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;1 200 000,00;Грант;Нет;Бюджетное;НИР;Проведение исследований;Подходы и методы;52: ГОРНОЕ ДЕЛО;52.47: РАЗРАБОТКА НЕФТЯНЫХ И ГАЗОВЫХ МЕСТОРОЖДЕНИЙ;52.47.27: МЕТОДЫ ПОВЫШЕНИЯ ОТДАЧИ НЕФТЯНЫХ И ГАЗОВЫХ ПЛАСТОВ;3;
Аксенова Н.В.;;НМ 1.767.2016;НГУ ММФ;ЛКЗМСС;Дифференцирование функционалов энергии для упругих тел со слабо искривленными включениями Тимошенко;Щербаков Виктор Викторович;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;479 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;30: МЕХАНИКА;30.19: МЕХАНИКА ДЕФОРМИРУЕМОГО ТВЕРДОГО ТЕЛА;30.19.15: ТЕОРИЯ УПРУГОСТИ;1;
Медных Д.А.;;№ 418-12 от 01.08.2018;ИНГГ СО РАН;Лаб.ГНГ Сибирской платформы;Дополнение к проекту поисково-оценочных работ на Бетинчинском лицензионном участке;Миосеев Сергей Александрович;Истсиб Геологоразведка ООО;Инженерно-техническое проектирование и технические консультации;1 770 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;Б-01-17;НГУ ММФ;ЛАПДиМО;Доработка и предоставление доступа к экспериментальному стенду и модулю идентификации дикторов;Павловский Евгений Николаевич;И20, ООО;Инфокоммуникационные разработки;261 000,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;28: КИБЕРНЕТИКА;28.23: ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ;28.23.37: НЕЙРОННЫЕ СЕТИ;4;
Аксенова Н.В.;;К-169-17;НГУ ПрНИД;ОАИНГУ;Изготовление и поставка датчиков давления;Прокопьев Юрий Михайлович;ИСС им. М.Ф. Решетнёва, АО;Создание космических аппаратов связи, телевещания, ретрансляции, навигации, геодезии;4 484 000,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;"89: КОСМИЧЕСКИЕ ИССЛЕДОВАНИЯ; 
59: ПРИБОРОСТРОЕНИЕ; 
29: ФИЗИКА";"89.25: КОСМИЧЕСКАЯ ТЕХНИКА И ТЕХНОЛОГИЯ; 
59.29: ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ ЭЛЕКТРИЧЕСКИХ И МАГНИТНЫХ ВЕЛИЧИН; 
29.03: ОБЩИЕ ПРОБЛЕМЫ ФИЗИЧЕСКОГО ЭКСПЕРИМЕНТА";"89.25.21: БОРТОВЫЕ СИСТЕМЫ И ЭЛЕМЕНТЫ КОСМИЧЕСКИХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ;
89.25.47: ВЛИЯНИЕ УСЛОВИЙ КОСМИЧЕСКОГО ПОЛЕТА НА КОСМИЧЕСКУЮ ТЕХНИКУ;
59.29.29: ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ ХАРАКТЕРИСТИК ЭЛЕКТРИЧЕСКОГО ПОЛЯ И АКТИВНЫХ ЭЛЕКТРИЧЕСКИХ ВЕЛИЧИН;
29.03.35: ЭЛЕКТРИЧЕСКИЕ И МАГНИТНЫЕ ИЗМЕРЕ-НИЯ В ФИЗИЧЕСКОМ ЭКСПЕРИМЕНТЕ";6;
Аксенова Н.В.;;К-154-16;НГУ ФФ;ОАИ;Изготовление и поставка прибора  контроля и регистрации помеховых импульсов;Прокопьев Юрий Михайлович;ИСС им. М.Ф. Решетнёва, АО;Создание космических аппаратов связи, телевещания, ретрансляции, навигации, геодезии;868 480,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;;;;5;
Аксенова Н.В.;;Д-01-15;НГУ ФЕН;КафОбХ;Изучение возможности обезвреживания летучих органических соединений в воздухе методом быстрой адсорбции на наноразмерном катализаторе;Козлов Денис Владимирович;Информационный технологический институт, ООО,  г. Москва;Экология, мониторинг загрязнения окружающей среды;300 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;3;
